保单号,签单日,批核日,时效(天),牌照,KA,保司,产品,年期,APE,状态
611222847,2025-11-21,2026-02-25,96,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222802,2025-11-10,2026-02-13,95,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1950000.0,生效
611222890,2025-11-24,2026-02-27,95,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1014000.0,生效
611203274,2025-10-30,2026-02-02,95,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222926,2025-11-24,2026-02-27,95,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
602068935,2025-11-24,2026-02-26,94,九富保险服务有限,香港宜达,永明,永明危疾家康保,10,39815.1,生效
611222897,2025-11-11,2026-02-13,94,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611208701,2025-11-11,2026-02-11,92,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222867,2025-11-25,2026-02-25,92,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222940,2025-12-18,2026-03-19,91,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222901,2025-11-13,2026-02-11,90,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222891,2025-11-26,2026-02-24,90,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611222805,2025-11-13,2026-02-10,89,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611227270,2025-11-06,2026-02-02,88,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,2340000.0,生效
602069338,2026-01-29,2026-04-27,88,九富保险服务有限,紫荆保险,永明,万年青·星河尊享保险计划II,2,390000.0,生效
602068714（1）,2026-04-21,2026-07-17,87,九富保险服务有限,唯思,永明,身故还原保障,15,2971.8,生效
602068714,2026-04-21,2026-07-17,87,九富保险服务有限,唯思,永明,万家康尊尚保,15,15147.6,生效
611222944,2025-12-23,2026-03-18,85,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
602068917,2025-11-11,2026-02-04,85,九富保险服务有限,万森保险,永明,万年青·星河尊享保险计划II,5,117000.0,生效
611222903,2025-11-11,2026-02-04,85,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222836,2025-11-20,2026-02-13,85,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222917,2025-11-18,2026-02-11,85,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222807,2025-12-05,2026-02-27,84,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222905,2025-11-18,2026-02-10,84,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1248000.0,生效
3818514788,2025-10-24,2026-01-16,84,富强天一财富管理,利泰丰,中银人寿,薪火传承环球终身寿险计划,3,13571999.45,生效
611222813,2025-12-05,2026-02-27,84,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222898,2025-11-20,2026-02-10,82,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222931,2025-12-04,2026-02-24,82,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611222952,2025-11-21,2026-02-11,82,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
602068908,2025-11-07,2026-01-27,81,九富保险服务有限,杨璐熙,永明,万年青·星河尊享保险计划II,5,780000.0,生效
611222954,2025-12-05,2026-02-24,81,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222812,2025-12-04,2026-02-23,81,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
602069592,2026-04-17,2026-07-06,80,九富保险服务有限,万森保险,永明,万年青·星河尊享保险计划II,5,390000.0,生效
611232099,2025-12-30,2026-03-19,79,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
3818551288,2025-10-30,2026-01-16,78,富强天一财富管理,利泰丰,中银人寿,薪火传承环球终身寿险计划,3,13571999.45,生效
611222871,2025-11-18,2026-02-04,78,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222850,2025-10-30,2026-01-15,77,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,436800.0,生效
611227333,2026-01-14,2026-03-31,76,众和恒富理财集团,个人转介,永明,万年青·星河尊享保险计划II,5,390000.0,生效
611222866,2025-11-21,2026-02-04,75,怡泰财富管理有限,民生银行,永明,万年青·卓金保险计划II,5,780000.0,生效
611222806,2025-11-19,2026-02-02,75,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222994,2026-03-19,2026-06-02,75,怡泰财富管理有限,平安银行,永明,永誉传承储蓄计划,1,390000.0,生效
602068457,2025-10-31,2026-01-14,75,九富保险服务有限,唯思,永明,万年青·星河尊享保险计划II,5,39000.0,生效
611232117,2026-04-25,2026-07-06,72,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611227299,2025-12-17,2026-02-27,72,众和恒富理财集团,企鹅保险,永明,万年青·星河尊享保险计划II,5,390000.0,生效
602069598,2026-02-04,2026-04-17,72,九富保险服务有限,万森保险,永明,万年青·星河尊享保险计划II,2,780000.0,生效
611222889,2026-03-16,2026-05-26,71,怡泰财富管理有限,平安银行,永明,永誉传承储蓄计划,1,3120000.0,生效
602070083,2026-05-12,2026-07-22,71,九富保险服务有限,天领重庆,永明,万年青·星河尊享保险计划II,2,234000.0,生效
602069422,2026-01-19,2026-03-30,70,九富保险服务有限,唯思,永明,万年青·星河尊享保险计划II,5,390000.0,生效
611232046,2025-12-19,2026-02-27,70,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611203259,2025-10-28,2026-01-06,70,怡泰财富管理有限,民生银行,永明,万年青·卓金保险计划II,5,780000.0,生效
100043109188,2026-05-15,2026-07-22,68,怡泰财富管理有限,天领重庆,立桥,智选储蓄保（20年保障期）,1,39000.0,生效
602069423,2026-01-19,2026-03-27,67,九富保险服务有限,唯思,永明,万家康卓越保,20,16504.8,生效
611233723,2026-05-12,2026-07-17,66,众和恒富理财集团,总部职能,永明,万家康卓越保,10,19312.8,生效
611233725,2026-05-12,2026-07-17,66,众和恒富理财集团,总部职能,永明,万家康卓越保,20,25435.8,生效
602069648,2026-01-26,2026-04-01,65,九富保险服务有限,唯思,永明,万年青·星河尊享保险计划II,2,585000.0,生效
611227474,2026-01-20,2026-03-25,64,众和恒富理财集团,企鹅保险,永明,万年青·星河尊享保险计划II,5,456000.0,生效
611232101,2026-01-07,2026-03-11,63,怡泰财富管理有限,平安银行,永明,永誉传承储蓄计划,1,780000.0,生效
602069287,2025-12-31,2026-03-04,63,九富保险服务有限,紫荆保险,永明,万年青·星河尊享保险计划II,2,273000.0,生效
602068702,2026-04-10,2026-06-10,61,九富保险服务有限,唯思,永明,万年青·星河尊享保险计划II,2,273000.0,生效
602068922,2025-11-19,2026-01-19,61,九富保险服务有限,万森保险,永明,万年青·星河尊享保险计划II,2,195000.0,生效
